Login,Status,Team,Last Usage Date,Last Editor Used
arigronningNBCUNI,Active,github-co-pilot-group,2025-10-06,vscode/1.104.3/copilot-chat/0.31.4
ks-nbcuni,Active,github-co-pilot-group,2025-10-06,Xcode/16.2/
karthiknbcuni,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/251.27812.49/
FardAtNBC,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
terrywangnbc,Active,github-co-pilot-group,2025-09-10,vscode/1.95.2/copilot/1.250.1260
sirisha-annapureddy,Active,github-co-pilot-group,2025-10-01,JetBrains-IC/241.17011.79/copilot-intellij/1.5.29.7524
krishnakantht1978,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/243.26053.27/
kumbraj-nbcu,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
rama-guntupalli,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
ashleyhmoyer,Active,github-co-pilot-group,2025-09-23,vscode/1.104.0/copilot-chat/0.31.0
lesleylnbcu,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
NBCCharlie,Active,github-co-pilot-group,2025-10-02,Xcode/16.2/
Harneet-nbcuni,Active,github-co-pilot-group,2025-09-18,JetBrains-IC/242.21829.142/
arunbasetty,Active,github-co-pilot-group,2025-10-01,unknown/GitHubCopilotChat/0.29.1
zakharovnbcu,Active,github-co-pilot-group,No activity,No activity
shayfrissnbc,Active,github-co-pilot-group,2025-10-03,vscode/1.101.2/copilot-chat/0.28.4
geethamuthyam20,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/251.25410.129/
pradeep-sakthivel-nbcuni,Active,github-co-pilot-group,2025-10-06,vscode-chat
alexkondratiuknbc,Active,github-co-pilot-group,2025-09-30,vscode/1.97.2/
connorsavagenbcuni,Active,github-co-pilot-group,2025-10-02,JetBrains-AI/242.23726.103.2422.13103373/
oscarwxy,Active,github-co-pilot-group,2025-10-01,vscode/1.100.2/copilot-chat/0.27.3
bsoares-nbcuni,Active,github-co-pilot-group,2025-07-21,JetBrains-IU/251.26094.121/copilot-intellij/1.5.47-243
Alekhya2304,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.31.2
