Report Time,Login,Last Authenticated At,Last Activity At,Last Surface Used
2025-10-24T15:15:36Z,gauravnbcu,2025-10-21T20:41:54Z,2025-10-21T20:41:53Z,vscode/1.105.1/copilot/1.372.0
2025-10-24T15:15:36Z,MarcoCanada-nbcuni,2025-10-23T20:04:47Z,2025-10-23T20:04:51Z,JetBrains-PS/252.26830.95/copilot-intellij/1.5.57-243
2025-10-24T15:15:36Z,MatthewLabasan-NBCU,2025-10-22T21:26:50Z,2025-10-22T21:28:06Z,JetBrains-IC/252.25557.131/
2025-10-24T15:15:36Z,joshuaborck-nbcuni,2025-10-23T19:29:09Z,2025-10-23T19:29:13Z,copilot_pr_review
2025-10-24T15:15:36Z,hatless,2025-10-20T12:51:59Z,2025-10-20T04:33:30Z,vscode/1.105.1/
2025-10-24T15:15:36Z,reubenavery,2025-10-24T14:10:49Z,2025-10-24T14:28:54Z,JetBrains-IU/252.26830.84/
2025-10-24T15:15:36Z,eflamoe,2025-10-23T22:02:43Z,2025-06-17T00:13:18Z,vscode/1.100.3/copilot-chat/0.27.3
2025-10-24T15:15:36Z,chazcheadle,2025-10-24T14:37:27Z,2025-10-24T14:19:46Z,vscode/1.99.3/copilot/1.350.0
2025-10-24T15:15:36Z,zrohde,2025-07-17T22:49:46Z,2025-07-17T21:31:13Z,vscode/1.102.0/copilot-chat/0.29.1
2025-10-24T15:15:36Z,pgrinstead1,2025-10-14T16:19:46Z,2025-08-29T17:20:14Z,vscode/1.103.2/copilot-chat/0.30.3
2025-10-24T15:15:36Z,zandercreations,2025-10-24T10:55:59Z,2025-10-14T22:12:31Z,JetBrains-IC/233.15619.7/copilot-intellij/1.5.33-231
2025-10-24T15:15:36Z,MandeepKaurJS,2025-08-05T22:04:41Z,2025-08-05T20:38:07Z,JetBrains-IC/241.15989.150/
2025-10-24T15:15:36Z,anasnbcnews,None,None,None
2025-10-24T15:15:36Z,samvtran,2025-10-24T13:49:41Z,2025-10-17T21:58:02Z,vscode/1.103.0/copilot/1.372.0
2025-10-24T15:15:36Z,fdansv,None,None,None
2025-10-24T15:15:36Z,gregdevs,2025-10-24T14:46:32Z,2025-10-24T05:21:00Z,vscode/1.103.2/copilot-chat/0.30.3
2025-10-24T15:15:36Z,samswartz13,2025-09-04T16:53:45Z,None,None
